date,Central Atlantic,New England,New York State,New York City
2019-01-07,2.7533742331288344,2.7304294478527606,2.8451533742331288,2.7533742331288344
2019-01-14,2.7419018404907978,2.707484662576687,2.8107361963190187,2.7304294478527606
2019-01-21,2.7419018404907978,2.6960122699386506,2.787791411042945,2.7304294478527606
2019-01-28,2.7419018404907978,2.6960122699386506,2.7648466257668716,2.707484662576687
2019-02-04,2.7122637343513776,2.643598829684254,2.7465961866849393,2.677931282017816
2019-02-11,2.7122637343513776,2.6207105281285465,2.7237078851292313,2.655042980462108
2019-02-18,2.7580403374627935,2.643598829684254,2.7122637343513776,2.68937543279567
2019-02-25,2.838149392907771,2.7122637343513776,2.803816940574209,2.7809286390185015
2019-03-04,2.8418969519470663,2.7277645442383487,2.807657229634451,2.7848307480927073
2019-03-11,2.910376396572296,2.7620042665509636,2.8761366742596812,2.8533101927179376
2019-03-18,2.990269081968399,2.830483711176194,2.967442600426655,2.93320287811404
2019-03-25,3.0587485265936296,2.898963155801425,3.00168232273927,3.0130955635101424
2019-04-01,3.0605232824276154,2.9126169527935675,3.015013642540216,3.015013642540216
2019-04-08,3.117410332286865,2.946749182709117,3.0832781023713154,3.0719006923994656
2019-04-15,3.2084296120616638,3.015013642540216,3.1629199721742642,3.1515425622024145
2019-04-22,3.2539392519490633,3.117410332286865,3.197052202089814,3.2311844320053638
2019-04-29,3.3335811217520126,3.2084296120616638,3.299448891836463,3.322203711780163
2019-05-06,3.3260644158982697,3.246602126098652,3.31471266021261,3.3260644158982697
2019-05-13,3.3033609045269507,3.2238986147273327,3.3033609045269507,3.31471266021261
2019-05-20,3.2806573931556313,3.2125468590416735,3.2920091488412906,3.2920091488412906
2019-05-27,3.257953881784312,3.1898433476703545,3.246602126098652,3.235250370412993
2019-06-03,3.2154110802648472,3.147479860259252,3.22673295026578,3.192767340262982
2019-06-10,3.147479860259252,3.0795486402536567,3.18144547026205,3.1361579902583196
2019-06-17,3.1021923802555222,3.0229392902489938,3.1361579902583196,3.1021923802555222
2019-06-24,3.090870510254589,3.0116174202480614,3.1021923802555222,3.068226770252724
2019-07-01,3.169953051643192,3.0454191817572096,3.169953051643192,3.1359892689470152
