date,state,value
2022-03-22,Buses,62.7
2022-03-22,LIRR,57.99999999999999
2022-03-22,Metro North,56.00000000000001
2022-03-22,Access A Ride,79
2022-03-22,Bridges And Tunnels,98.5
2022-03-21,Subways,56.10000000000001
2022-03-21,Buses,62.8
2022-03-21,LIRR,56.99999999999999
2022-03-21,Metro North,50
2022-03-21,Access A Ride,78
2022-03-21,Bridges And Tunnels,99.1
2022-03-20,Subways,68.60000000000001
2022-03-20,Buses,58.4
2022-03-20,LIRR,72
2022-03-20,Metro North,79
2022-03-20,Access A Ride,69
2022-03-20,Bridges And Tunnels,100.89999999999999
2022-03-19,Subways,66.3
2022-03-19,Buses,61.8
2022-03-19,LIRR,66
2022-03-19,Metro North,77
2022-03-19,Access A Ride,78.10000000000001
2022-03-19,Bridges And Tunnels,98.6
2022-03-18,Subways,59.699999999999996
2022-03-18,Buses,65.5
2022-03-18,LIRR,54
2022-03-18,Metro North,51
2022-03-18,Access A Ride,85.39999999999999
2022-03-18,Bridges And Tunnels,101.49999999999999
2022-03-17,Subways,57.199999999999996
2022-03-17,Buses,61.8
2022-03-17,LIRR,57.99999999999999
2022-03-17,Metro North,52
2022-03-17,Access A Ride,78.5
2022-03-17,Bridges And Tunnels,96.7
2022-03-16,Subways,58.699999999999996
2022-03-16,Buses,63
2022-03-16,LIRR,59
2022-03-16,Metro North,56.00000000000001
2022-03-16,Access A Ride,79.3
2022-03-16,Bridges And Tunnels,99
2022-03-15,Subways,58.199999999999996
2022-03-15,Buses,62.5
2022-03-15,LIRR,59
2022-03-15,Metro North,56.00000000000001
2022-03-15,Access A Ride,79.3
2022-03-15,Bridges And Tunnels,99.8
2022-03-14,Subways,55.900000000000006
2022-03-14,Buses,62.4
2022-03-14,LIRR,55.00000000000001
2022-03-14,Metro North,50
2022-03-14,Access A Ride,80.30000000000001
2022-03-14,Bridges And Tunnels,98.6
2022-03-13,Subways,61.3
2022-03-13,Buses,54.900000000000006
2022-03-13,LIRR,64
2022-03-13,Metro North,72
2022-03-13,Access A Ride,62.3
2022-03-13,Bridges And Tunnels,90.9
2022-03-12,Subways,52.300000000000004
2022-03-12,Buses,47
2022-03-12,LIRR,46
2022-03-12,Metro North,62
2022-03-12,Access A Ride,62.9
2022-03-12,Bridges And Tunnels,74
2022-03-11,Subways,56.8
2022-03-11,Buses,63.7
2022-03-11,LIRR,53
2022-03-11,Metro North,50
2022-03-11,Access A Ride,81.8
2022-03-11,Bridges And Tunnels,98.9
2022-03-10,Subways,57.599999999999994
2022-03-10,Buses,62.6
2022-03-10,LIRR,56.99999999999999
2022-03-10,Metro North,54
2022-03-10,Access A Ride,78.4
2022-03-10,Bridges And Tunnels,98
2022-03-09,Subways,54
2022-03-09,Buses,56.99999999999999
2022-03-09,LIRR,54
2022-03-09,Metro North,50
2022-03-09,Access A Ride,73.3
2022-03-09,Bridges And Tunnels,89.60000000000001
2022-03-08,Subways,56.49999999999999
2022-03-08,Buses,62.5
2022-03-08,LIRR,55.00000000000001
2022-03-08,Metro North,53
2022-03-08,Access A Ride,78.5
2022-03-08,Bridges And Tunnels,98.5
2022-03-07,Subways,53.7
2022-03-07,Buses,60.9
2022-03-07,LIRR,53
2022-03-07,Metro North,49
2022-03-07,Access A Ride,77.9
2022-03-07,Bridges And Tunnels,95.39999999999999
2022-03-06,Subways,64.4
2022-03-06,Buses,61.3
2022-03-06,LIRR,56.99999999999999
2022-03-06,Metro North,66
2022-03-06,Access A Ride,74.9
2022-03-06,Bridges And Tunnels,107.89999999999999
2022-03-05,Subways,68.7
2022-03-05,Buses,64.9
2022-03-05,LIRR,61
2022-03-05,Metro North,73
2022-03-05,Access A Ride,73.5
2022-03-05,Bridges And Tunnels,102.8
2022-03-04,Subways,55.900000000000006
2022-03-04,Buses,63.4
2022-03-04,LIRR,49
2022-03-04,Metro North,47
2022-03-04,Access A Ride,71.6
2022-03-04,Bridges And Tunnels,99.6
2022-03-03,Subways,56.49999999999999
2022-03-03,Buses,64.7
2022-03-03,LIRR,53
2022-03-03,Metro North,51
2022-03-03,Access A Ride,73.1
2022-03-03,Bridges And Tunnels,99.6
2022-03-02,Subways,57.199999999999996
2022-03-02,Buses,65
2022-03-02,LIRR,56.00000000000001
2022-03-02,Metro North,55.00000000000001
2022-03-02,Access A Ride,72.6
2022-03-02,Bridges And Tunnels,100.8
2022-03-01,Subways,56.39999999999999
2022-03-01,Buses,64.60000000000001
2022-03-01,LIRR,56.99999999999999
2022-03-01,Metro North,57.99999999999999
2022-03-01,Access A Ride,71.5
2022-03-01,Bridges And Tunnels,99.9
2022-02-28,Subways,54
2022-02-28,Buses,61.3
2022-02-28,LIRR,46
2022-02-28,Metro North,45
2022-02-28,Access A Ride,72.39999999999999
2022-02-28,Bridges And Tunnels,99.9
2022-02-27,Subways,61.7
2022-02-27,Buses,59.699999999999996
2022-02-27,LIRR,67
2022-02-27,Metro North,64
2022-02-27,Access A Ride,56.49999999999999
2022-02-27,Bridges And Tunnels,100.89999999999999
2022-02-26,Subways,62.5
2022-02-26,Buses,61.5
2022-02-26,LIRR,64
2022-02-26,Metro North,64
2022-02-26,Access A Ride,69.6
2022-02-26,Bridges And Tunnels,101.89999999999999
2022-02-25,Subways,49.9
2022-02-25,Buses,54.6
2022-02-25,LIRR,38
2022-02-25,Metro North,34
2022-02-25,Access A Ride,62.8
2022-02-25,Bridges And Tunnels,85.5
2022-02-24,Subways,53.400000000000006
2022-02-24,Buses,60.199999999999996
2022-02-24,LIRR,46
2022-02-24,Metro North,42
2022-02-24,Access A Ride,69.3
2022-02-24,Bridges And Tunnels,100.49999999999999
2022-02-23,Subways,54.1
2022-02-23,Buses,61.3
2022-02-23,LIRR,49
2022-02-23,Metro North,46
2022-02-23,Access A Ride,72.39999999999999
2022-02-23,Bridges And Tunnels,101.2
2022-02-22,Subways,51.9
2022-02-22,Buses,58.9
2022-02-22,LIRR,47
2022-02-22,Metro North,43
2022-02-22,Access A Ride,61.9
2022-02-22,Bridges And Tunnels,98.8
2022-02-21,Subways,60.699999999999996
2022-02-21,Buses,64.2
2022-02-21,LIRR,38
2022-02-21,Metro North,24
2022-02-21,Access A Ride,76.5
2022-02-21,Bridges And Tunnels,103.3
2022-02-20,Subways,64.9
2022-02-20,Buses,56.49999999999999
2022-02-20,LIRR,59
2022-02-20,Metro North,68
2022-02-20,Access A Ride,54.900000000000006
2022-02-20,Bridges And Tunnels,96.7
2022-02-19,Subways,61.4
2022-02-19,Buses,57.4
2022-02-19,LIRR,56.99999999999999
2022-02-19,Metro North,69
2022-02-19,Access A Ride,69.3
2022-02-19,Bridges And Tunnels,97.8
2022-02-18,Subways,53.400000000000006
2022-02-18,Buses,61
2022-02-18,LIRR,43
2022-02-18,Metro North,42
2022-02-18,Access A Ride,69.5
2022-02-18,Bridges And Tunnels,96.89999999999999
2022-02-17,Subways,54.900000000000006
2022-02-17,Buses,63.800000000000004
2022-02-17,LIRR,49
2022-02-17,Metro North,44
2022-02-17,Access A Ride,72
2022-02-17,Bridges And Tunnels,99.5
2022-02-16,Subways,55.7
2022-02-16,Buses,62
2022-02-16,LIRR,49
2022-02-16,Metro North,45
2022-02-16,Access A Ride,68.7
2022-02-16,Bridges And Tunnels,99.5
2022-02-15,Subways,54.1
2022-02-15,Buses,60
2022-02-15,LIRR,51
2022-02-15,Metro North,46
2022-02-15,Access A Ride,66.7
2022-02-15,Bridges And Tunnels,101.4
2022-02-14,Subways,54
2022-02-14,Buses,59.3
2022-02-14,LIRR,49
2022-02-14,Metro North,43
2022-02-14,Access A Ride,69.19999999999999
2022-02-14,Bridges And Tunnels,102
2022-02-13,Subways,57.9
2022-02-13,Buses,52.5
2022-02-13,LIRR,54
2022-02-13,Metro North,57.99999999999999
2022-02-13,Access A Ride,51.800000000000004
2022-02-13,Bridges And Tunnels,86.5
2022-02-12,Subways,72.89999999999999
2022-02-12,Buses,72.3
2022-02-12,LIRR,64
2022-02-12,Metro North,74
2022-02-12,Access A Ride,81.3
2022-02-12,Bridges And Tunnels,105.3
2022-02-11,Subways,54.50000000000001
2022-02-11,Buses,64
2022-02-11,LIRR,44
2022-02-11,Metro North,41
2022-02-11,Access A Ride,73.1
2022-02-11,Bridges And Tunnels,96.1
2022-02-10,Subways,54.900000000000006
2022-02-10,Buses,64.4
2022-02-10,LIRR,50
2022-02-10,Metro North,44
2022-02-10,Access A Ride,70.89999999999999
2022-02-10,Bridges And Tunnels,98.9
2022-02-09,Subways,55.50000000000001
2022-02-09,Buses,62.7
2022-02-09,LIRR,50
2022-02-09,Metro North,45
2022-02-09,Access A Ride,69.69999999999999
2022-02-09,Bridges And Tunnels,98.7
2022-02-08,Subways,53.900000000000006
2022-02-08,Buses,62.2
2022-02-08,LIRR,49
2022-02-08,Metro North,46
2022-02-08,Access A Ride,69
2022-02-08,Bridges And Tunnels,98.9
2022-02-07,Subways,51.7
2022-02-07,Buses,60.5
2022-02-07,LIRR,47
2022-02-07,Metro North,42
2022-02-07,Access A Ride,70.19999999999999
2022-02-07,Bridges And Tunnels,95.7
2022-02-06,Subways,58.8
2022-02-06,Buses,56.2
2022-02-06,LIRR,55.00000000000001
2022-02-06,Metro North,60
2022-02-06,Access A Ride,54.1
2022-02-06,Bridges And Tunnels,97.3
2022-02-05,Subways,60.3
2022-02-05,Buses,56.49999999999999
2022-02-05,LIRR,54
2022-02-05,Metro North,64
2022-02-05,Access A Ride,62.8
2022-02-05,Bridges And Tunnels,93.30000000000001
