date,"Fairfield, CT","Hartford, CT","New Haven, CT","Bergen, NJ","Hudson, NJ","Monmouth, NJ","Morris, NJ","Nassau, NY","Suffolk, NY","Westchester, NY","New York City, NY"
2019-01-01,1825.2647050271855,1293.6451203733316,1374.5681861134533,1919.6749483906608,2039.9356155322303,1640.9399441746866,1798.2903497804784,2272.5894295350795,2139.9655162387694,1901.6920448928558,2027.5723693774894
2019-02-01,1827.4983957102925,1284.8547002969296,1392.4865076516462,1931.7667090851742,2042.7620104197258,1657.081367398658,1805.0751025113932,2256.904460469214,2149.272653114497,1907.101086566385,2011.3693999412667
2019-03-01,1834.861926456232,1288.0931988285065,1402.1431174747804,1937.7304805293418,2041.7171710597681,1658.1963662002388,1811.3810608525873,2218.3827313157612,2134.52249701703,1905.304523267166,2028.299533571971
2019-04-01,1854.7379514923896,1294.0809865881395,1397.7412206559234,1952.825054696314,2055.370662591326,1674.1685115033467,1822.4137924820054,2218.106083816019,2104.414214193288,1910.469260130983,2048.6829055546946
2019-05-01,1873.910176647439,1307.84472862753,1395.7016449213863,1945.0853999741073,2068.5299279312976,1693.7478926018098,1814.9681948300417,2230.8984061452597,2099.669088136715,1909.497788310773,2076.314717982652
2019-06-01,1895.5971872511673,1312.165870402651,1396.4639313921705,1924.435997589687,2085.2678244775857,1708.1449200507884,1809.0807562356079,2281.5935717821244,2107.451524737986,1929.981922654787,2095.250489594766
2019-07-01,1912.132086637472,1319.8591549295775,1405.261806130903,1912.132086637472,2097.3560184637236,1688.0887679015268,1801.2195526097764,2283.6890756302523,2131.7389040123094,1948.7332228666114,2126.1932773109243
2019-08-01,1903.5241994359906,1331.3602394892423,1391.122045750605,1910.1644001316977,2097.196719727443,1663.3702742745895,1781.7871866813634,2256.56153642441,2123.757522510271,1955.539104885695,2141.4647243654895
2019-09-01,1881.9963628292605,1336.217417608775,1376.0714582333947,1909.6727799296907,2098.979472896634,1651.7285725536804,1787.8965446877974,2232.9333316627167,2111.157096420823,1943.9915371342242,2146.5829103093743
2019-10-01,1860.4080141805875,1327.7554815491217,1376.4804533490894,1925.7437718214535,2091.8516302304347,1659.9711983670838,1803.931342321534,2232.4896170167053,2115.106730407692,1930.1733147123596,2138.361830584949
2019-11-01,1828.0069131349564,1304.6126819528533,1368.7921014212718,1919.8498754776933,2083.618049293658,1647.6406135944007,1833.53962170982,2223.0423053802224,2147.7974687620767,1913.210625187857,2114.6012173128943
2019-12-01,1800.3146603482292,1294.1488442405011,1379.2465906166913,1926.3035316064845,2066.6595548503306,1654.4328094176176,1820.2076400205854,2188.2277639591734,2151.7573012265207,1915.2518762329535,2077.7112102238616
2020-01-01,1766.5075987518615,1280.7454223104744,1360.7920112048791,1906.8632614708176,2054.8946244947165,1644.7929224877669,1785.1485852067228,2145.9064995390395,2142.6169136940644,1915.6354903907525,2038.446695269839
2020-02-01,1780.5354328200808,1279.3152556648276,1370.1477331842293,1906.3876607084087,2065.0709045676044,1664.5325097230134,1746.6100496501838,2153.7146476889484,2096.8075533394435,1906.3876607084087,2023.4849510045049
2020-03-01,1804.0774359429024,1285.3366291337882,1370.8795105949107,1915.9412040074471,2088.123670538168,1675.7631137512187,1752.5323663445338,2202.1808458196647,2127.6050004433014,1912.6510931820194,2047.5456370245586
2020-04-01,1822.6870997744306,1299.2431019552926,1374.1782426957163,1907.5401267893226,2084.9600923659145,1688.2446413871994,1749.955933761666,2224.9124875722946,2122.4276627361264,1896.520253151025,2038.6766230850644
2020-05-01,1798.944184875856,1288.092271315741,1356.0596932915503,1898.7028203564796,2039.0226592742795,1670.6830821150547,1729.8805141585015,2211.1337116968934,2119.048817407087,1862.5266118854843,1992.9802121293762
2020-06-01,1789.7414117372036,1284.8021272752385,1348.330280201039,1882.8430151629454,1995.660252255315,1665.971044830041,1698.8304342744202,2203.769718736385,2089.8571686625364,1843.41174782969,1933.2274123109942
2020-07-01,1780.504537697797,1274.5926543592925,1341.1026217809494,1873.182361154204,1952.776256593236,1670.3814768848897,1682.3750775674837,2200.280561588582,2056.357353397456,1837.2015591064226,1862.2790878063915
2020-08-01,1798.8757751924309,1287.248887038853,1345.0659980668693,1863.2382195443736,1918.8735527977478,1705.0593308828197,1681.0597753617562,2219.958885698361,2054.1437748255594,1868.692663980979,1796.6939974177888
2020-09-01,1800.7866814736199,1290.0022878148382,1348.688154320315,1848.6047949225272,1876.8609528696086,1727.972735994602,1684.5017237683228,2208.3274210949885,2087.695362167063,1865.993199813039,1709.4975557984333
