county,state,fips_code,date,value
Suffolk,NY,36103,2019-01-01,480924.5103036955
Suffolk,NY,36103,2019-02-01,485156.7887485816
Suffolk,NY,36103,2019-03-01,489964.7049716166
Suffolk,NY,36103,2019-04-01,493250.78188515763
Suffolk,NY,36103,2019-05-01,495419.44853417156
Suffolk,NY,36103,2019-06-01,496708.44588632794
Suffolk,NY,36103,2019-07-01,498969.1866277881
Suffolk,NY,36103,2019-08-01,500102.3359326911
Suffolk,NY,36103,2019-09-01,501085.0948814698
Suffolk,NY,36103,2019-10-01,501576.95129541104
Suffolk,NY,36103,2019-11-01,501656.1208367327
Suffolk,NY,36103,2019-12-01,503411.9096978015
Suffolk,NY,36103,2020-01-01,502822.40773349407
Suffolk,NY,36103,2020-02-01,505254.08918277145
Suffolk,NY,36103,2020-03-01,508839.1450057629
Suffolk,NY,36103,2020-04-01,513961.5261079812
Suffolk,NY,36103,2020-05-01,514083.4697332786
Suffolk,NY,36103,2020-06-01,514933.5525213135
Suffolk,NY,36103,2020-07-01,512041.57238809124
Suffolk,NY,36103,2020-08-01,510804.2622849039
Suffolk,NY,36103,2020-09-01,509524.2547030234
Suffolk,NY,36103,2020-10-01,513123.2477958335
Suffolk,NY,36103,2020-11-01,519756.92122234736
Suffolk,NY,36103,2020-12-01,525101.2530508176
Suffolk,NY,36103,2021-01-01,530872.4046931092
Suffolk,NY,36103,2021-02-01,537690.3677715954
Suffolk,NY,36103,2021-03-01,543687.2380574717
Suffolk,NY,36103,2021-04-01,547474.9882242404
Suffolk,NY,36103,2021-05-01,552001.9987628483
Suffolk,NY,36103,2021-06-01,553530.28767967
Suffolk,NY,36103,2021-07-01,559783.0452013777
Suffolk,NY,36103,2021-08-01,563588.6122336498
Suffolk,NY,36103,2021-09-01,563993.6635971682
Suffolk,NY,36103,2021-10-01,566090.4618817292
Suffolk,NY,36103,2021-11-01,568796.2533597768
Suffolk,NY,36103,2021-12-01,575546.4706718542
Suffolk,NY,36103,2022-01-01,574065.9383936782
Suffolk,NY,36103,2022-02-01,576727.5110426332
Suffolk,NY,36103,2022-03-01,574231.1025034096
Suffolk,NY,36103,2022-04-01,575019.7534285742
Suffolk,NY,36103,2022-05-01,578002.2735615681
Suffolk,NY,36103,2022-06-01,575153.7077639841
Suffolk,NY,36103,2022-07-01,580995.367752667
Suffolk,NY,36103,2022-08-01,581053.0746520685
Suffolk,NY,36103,2022-09-01,578707.7388587996
Suffolk,NY,36103,2022-10-01,575095.2690288797
Suffolk,NY,36103,2022-11-01,571421.8938931662
Suffolk,NY,36103,2022-12-01,566731.5958511798
Suffolk,NY,36103,2023-01-01,561506.5879472326
Suffolk,NY,36103,2023-02-01,559733.706732019
Suffolk,NY,36103,2023-03-01,562562.8872986917
Suffolk,NY,36103,2023-04-01,562373
Nassau,NY,36059,2019-01-01,619267.7621827116
Nassau,NY,36059,2019-02-01,619898.19572697
Nassau,NY,36059,2019-03-01,620794.2399284088
Nassau,NY,36059,2019-04-01,621339.7168587196
Nassau,NY,36059,2019-05-01,621115.3518563805
Nassau,NY,36059,2019-06-01,620449.9084547457
Nassau,NY,36059,2019-07-01,621105.7446246104
Nassau,NY,36059,2019-08-01,620772.3372961908
Nassau,NY,36059,2019-09-01,621415.727663261
Nassau,NY,36059,2019-10-01,622279.4143990261
Nassau,NY,36059,2019-11-01,623283.1555025978
Nassau,NY,36059,2019-12-01,623971.6264080682
Nassau,NY,36059,2020-01-01,622333.5482802638
Nassau,NY,36059,2020-02-01,625676.2432222014
Nassau,NY,36059,2020-03-01,633496.4319141768
Nassau,NY,36059,2020-04-01,642628.5058031594
Nassau,NY,36059,2020-05-01,643443.9730371654
Nassau,NY,36059,2020-06-01,643482.6497858912
Nassau,NY,36059,2020-07-01,639111.9146158294
Nassau,NY,36059,2020-08-01,637111.2753441184
Nassau,NY,36059,2020-09-01,634530.455218924
Nassau,NY,36059,2020-10-01,637477.1333727533
Nassau,NY,36059,2020-11-01,644350.0706799722
Nassau,NY,36059,2020-12-01,649725.4484227186
Nassau,NY,36059,2021-01-01,654700.8945661501
Nassau,NY,36059,2021-02-01,660349.8303406244
Nassau,NY,36059,2021-03-01,664791.1264048755
Nassau,NY,36059,2021-04-01,667278.4900360286
Nassau,NY,36059,2021-05-01,670344.0872810499
Nassau,NY,36059,2021-06-01,669761.75258616
Nassau,NY,36059,2021-07-01,674903.3503490001
Nassau,NY,36059,2021-08-01,677449.2635586386
Nassau,NY,36059,2021-09-01,676028.8514863548
Nassau,NY,36059,2021-10-01,676278.7242775036
Nassau,NY,36059,2021-11-01,677167.4704326196
Nassau,NY,36059,2021-12-01,681936.1587859802
Nassau,NY,36059,2022-01-01,678076.12164017
