value,state,date
0.31,Connecticut,2020-08-23
-9.99,Connecticut,2020-08-24
-8.52,Connecticut,2020-08-25
13.89,Connecticut,2020-08-26
-31.8,Connecticut,2020-08-27
-1.69,Connecticut,2020-08-28
-15.71,Connecticut,2020-08-29
-13.39,Connecticut,2020-08-30
-32.89,Connecticut,2020-08-31
26.57,Connecticut,2020-09-01
-10.64,Connecticut,2020-09-02
15.38,Connecticut,2020-09-03
16.62,Connecticut,2020-09-04
-3.19,Connecticut,2020-09-05
48.54,Connecticut,2020-09-06
66.74,Connecticut,2020-09-07
-22.57,Connecticut,2020-09-08
-16.95,Connecticut,2020-09-09
-32.99,Connecticut,2020-09-10
-5.3,Connecticut,2020-09-11
-0.94,Connecticut,2020-09-12
-4.66,Connecticut,2020-09-13
-7.51,Connecticut,2020-09-14
-26.47,Connecticut,2020-09-15
-8.19,Connecticut,2020-09-16
-11.79,Connecticut,2020-09-17
-9.22,Connecticut,2020-09-18
-3.94,Connecticut,2020-09-19
7.81,Connecticut,2020-09-20
-28.95,Connecticut,2020-09-21
-34.95,Connecticut,2020-09-22
-11.24,Connecticut,2020-09-23
6.11,Connecticut,2020-09-24
4.01,Connecticut,2020-09-25
4.12,Connecticut,2020-09-26
15.79,Connecticut,2020-09-27
-23.94,Connecticut,2020-09-28
-30.41,Connecticut,2020-09-29
-11.1,Connecticut,2020-09-30
1.65,Connecticut,2020-10-01
-18.25,Connecticut,2020-10-02
-8.16,Connecticut,2020-10-03
7.91,Connecticut,2020-10-04
5.92,Connecticut,2020-10-05
-26.28,Connecticut,2020-10-06
-28.28,Connecticut,2020-10-07
-14.14,Connecticut,2020-10-08
-6.15,Connecticut,2020-10-09
-1.06,Connecticut,2020-10-10
-3.73,Connecticut,2020-10-11
-34.02,Connecticut,2020-10-12
-45.57,Connecticut,2020-10-13
-13.14,Connecticut,2020-10-14
-0.7,Connecticut,2020-10-15
-33.17,Connecticut,2020-10-16
-6.65,Connecticut,2020-10-17
3.56,Connecticut,2020-10-18
-30.38,Connecticut,2020-10-19
-31.7,Connecticut,2020-10-20
-30.12,Connecticut,2020-10-21
-10.89,Connecticut,2020-10-22
-9.82,Connecticut,2020-10-23
-3.69,Connecticut,2020-10-24
-2.74,Connecticut,2020-10-25
-40.4,Connecticut,2020-10-26
-35.34,Connecticut,2020-10-27
-32.58,Connecticut,2020-10-28
-16.24,Connecticut,2020-10-29
-37.5,Connecticut,2020-10-30
-47.22,Connecticut,2020-10-31
-38.19,Connecticut,2020-11-01
-55.61,Connecticut,2020-11-02
-55.02,Connecticut,2020-11-03
-43.32,Connecticut,2020-11-04
-28.64,Connecticut,2020-11-05
-15.54,Connecticut,2020-11-06
-11.68,Connecticut,2020-11-07
-6.19,Connecticut,2020-11-08
-33.91,Connecticut,2020-11-09
-3.66,Connecticut,2020-11-10
-34.47,Connecticut,2020-11-11
-50.23,Connecticut,2020-11-12
-46.85,Connecticut,2020-11-13
-36.6,Connecticut,2020-11-14
-47.51,Connecticut,2020-11-15
-57.59,Connecticut,2020-11-16
-62.09,Connecticut,2020-11-17
-60.3,Connecticut,2020-11-18
-56.99,Connecticut,2020-11-19
-45.86,Connecticut,2020-11-20
-43.52,Connecticut,2020-11-21
-43.73,Connecticut,2020-11-22
-58.74,Connecticut,2020-11-23
-57.1,Connecticut,2020-11-24
-55.38,Connecticut,2020-11-25
-64.65,Connecticut,2020-11-26
-53.21,Connecticut,2020-11-27
-42.23,Connecticut,2020-11-28
40.98,Connecticut,2020-11-29
-41.87,Connecticut,2020-11-30
-61.07,Connecticut,2020-12-01
-64.73,Connecticut,2020-12-02
-58.5,Connecticut,2020-12-03
-54.31,Connecticut,2020-12-04
-59.89,Connecticut,2020-12-05
-51.24,Connecticut,2020-12-06
-65.71,Connecticut,2020-12-07
-73.71,Connecticut,2020-12-08
-65.05,Connecticut,2020-12-09
-66.09,Connecticut,2020-12-10
-50.47,Connecticut,2020-12-11
-43.88,Connecticut,2020-12-12
-39.59,Connecticut,2020-12-13
-75.87,Connecticut,2020-12-14
-47.31,Connecticut,2020-12-15
-83.4,Connecticut,2020-12-16
-88.15,Connecticut,2020-12-17
-60.1,Connecticut,2020-12-18
-39.39,Connecticut,2020-12-19
-55.2,Connecticut,2020-12-20
-75.27,Connecticut,2020-12-21
-69.54,Connecticut,2020-12-22
18.52,Connecticut,2020-12-23
-44.57,Connecticut,2020-12-24
-87.86,Connecticut,2020-12-25
-52.47,Connecticut,2020-12-26
-40.11,Connecticut,2020-12-27
-45.31,Connecticut,2020-12-28
-74.3,Connecticut,2020-12-29
-15.32,Connecticut,2020-12-30
122.53,Connecticut,2020-12-31
-39.4,Connecticut,2021-01-01
-36.27,Connecticut,2021-01-02
-45.53,Connecticut,2021-01-03
-44.89,Connecticut,2021-01-04
-54.88,Connecticut,2021-01-05
-53.89,Connecticut,2021-01-06
-53.55,Connecticut,2021-01-07
-46.3,Connecticut,2021-01-08
-44.19,Connecticut,2021-01-09
-39.96,Connecticut,2021-01-10
-58.66,Connecticut,2021-01-11
-55.41,Connecticut,2021-01-12
-53.7,Connecticut,2021-01-13
-50.2,Connecticut,2021-01-14
-45.87,Connecticut,2021-01-15
-4.58,Connecticut,2021-01-16
-34.88,Connecticut,2021-01-17
-45.19,Connecticut,2021-01-18
-51.66,Connecticut,2021-01-19
-54.7,Connecticut,2021-01-20
-51.27,Connecticut,2021-01-21
-41.43,Connecticut,2021-01-22
-30.95,Connecticut,2021-01-23
-46.32,Connecticut,2021-01-24
-61.04,Connecticut,2021-01-25
-69.69,Connecticut,2021-01-26
-58.14,Connecticut,2021-01-27
-49.48,Connecticut,2021-01-28
-42.73,Connecticut,2021-01-29
-35.19,Connecticut,2021-01-30
-5.03,Connecticut,2021-01-31
-94.18,Connecticut,2021-02-01
-74.17,Connecticut,2021-02-02
-54.14,Connecticut,2021-02-03
-33.61,Connecticut,2021-02-04
-32.07,Connecticut,2021-02-05
-32.07,Connecticut,2021-02-06
-79.47,Connecticut,2021-02-07
-52.15,Connecticut,2021-02-08
-67.93,Connecticut,2021-02-09
-48.26,Connecticut,2021-02-10
-45.78,Connecticut,2021-02-11
-57.6,Connecticut,2021-02-12
-21.68,Connecticut,2021-02-13
16.25,Connecticut,2021-02-14
-36.5,Connecticut,2021-02-15
-40.4,Connecticut,2021-02-16
-40.54,Connecticut,2021-02-17
-69.09,Connecticut,2021-02-18
-48.11,Connecticut,2021-02-19
-23.49,Connecticut,2021-02-20
-22.47,Connecticut,2021-02-21
-56.84,Connecticut,2021-02-22
-52.11,Connecticut,2021-02-23
-37.71,Connecticut,2021-02-24
-29.06,Connecticut,2021-02-25
-27.41,Connecticut,2021-02-26
-25.08,Connecticut,2021-02-27
-28.85,Connecticut,2021-02-28
-49.15,Connecticut,2021-03-01
-44.81,Connecticut,2021-03-02
-30.29,Connecticut,2021-03-03
-38.05,Connecticut,2021-03-04
-24.88,Connecticut,2021-03-05
-24.28,Connecticut,2021-03-06
-2.19,Connecticut,2021-03-07
-50.56,Connecticut,2021-03-08
-38.53,Connecticut,2021-03-09
-37.52,Connecticut,2021-03-10
-26.12,Connecticut,2021-03-11
-13.2,Connecticut,2021-03-12
-17.75,Connecticut,2021-03-13
-13.18,Connecticut,2021-03-14
-47,Connecticut,2021-03-15
-49.4,Connecticut,2021-03-16
-25.28,Connecticut,2021-03-17
-43.81,Connecticut,2021-03-18
-13.43,Connecticut,2021-03-19
-16.31,Connecticut,2021-03-20
9.34,Connecticut,2021-03-21
-26.21,Connecticut,2021-03-22
-26.92,Connecticut,2021-03-23
-40.31,Connecticut,2021-03-24
-7,Connecticut,2021-03-25
-7.66,Connecticut,2021-03-26
-10.44,Connecticut,2021-03-27
-16.31,Connecticut,2021-03-28
-19.5,Connecticut,2021-03-29
-17.33,Connecticut,2021-03-30
-25.24,Connecticut,2021-03-31
-7.57,Connecticut,2021-04-01
-1.93,Connecticut,2021-04-02
-19.67,Connecticut,2021-04-03
22.99,Connecticut,2021-04-04
-21.03,Connecticut,2021-04-05
-14.33,Connecticut,2021-04-06
-12.34,Connecticut,2021-04-07
3.08,Connecticut,2021-04-08
-6.81,Connecticut,2021-04-09
3.4,Connecticut,2021-04-10
-8.23,Connecticut,2021-04-11
-45.02,Connecticut,2021-04-12
-15.14,Connecticut,2021-04-13
-5.08,Connecticut,2021-04-14
-27.25,Connecticut,2021-04-15
-7.9,Connecticut,2021-04-16
-60.98,Connecticut,2021-04-17
-38.02,Connecticut,2021-04-18
-6.41,Connecticut,2021-04-19
17.29,Connecticut,2021-04-20
-25.57,Connecticut,2021-04-21
-0.57,Connecticut,2021-04-22
10.85,Connecticut,2021-04-23
11.09,Connecticut,2021-04-24
2.33,Connecticut,2021-04-25
-22.93,Connecticut,2021-04-26
-7.5,Connecticut,2021-04-27
9.12,Connecticut,2021-04-28
-11.24,Connecticut,2021-04-29
2.03,Connecticut,2021-04-30
12.73,Connecticut,2021-05-01
29.1,Connecticut,2021-05-02
-24.41,Connecticut,2021-05-03
-11.25,Connecticut,2021-05-04
-5.32,Connecticut,2021-05-05
13.07,Connecticut,2021-05-06
14.97,Connecticut,2021-05-07
0.85,Connecticut,2021-05-08
-11.75,Connecticut,2021-05-09
-11.65,Connecticut,2021-05-10
6.08,Connecticut,2021-05-11
5.04,Connecticut,2021-05-12
11.62,Connecticut,2021-05-13
26.07,Connecticut,2021-05-14
16.06,Connecticut,2021-05-15
5.56,Connecticut,2021-05-16
-15.06,Connecticut,2021-05-17
6.83,Connecticut,2021-05-18
32.83,Connecticut,2021-05-19
35.53,Connecticut,2021-05-20
25.73,Connecticut,2021-05-21
40.72,Connecticut,2021-05-22
16.57,Connecticut,2021-05-23
12.96,Connecticut,2021-05-24
63.75,Connecticut,2021-05-25
44.05,Connecticut,2021-05-26
52.18,Connecticut,2021-05-27
18.4,Connecticut,2021-05-28
18.29,Connecticut,2021-05-29
53.32,Connecticut,2021-05-30
50.14,Connecticut,2021-05-31
-15.8,Connecticut,2021-06-01
7.02,Connecticut,2021-06-02
-3.06,Connecticut,2021-06-03
11.16,Connecticut,2021-06-04
28.74,Connecticut,2021-06-05
28.07,Connecticut,2021-06-06
2.54,Connecticut,2021-06-07
2.6,Connecticut,2021-06-08
1.26,Connecticut,2021-06-09
14.32,Connecticut,2021-06-10
25.77,Connecticut,2021-06-11
22.73,Connecticut,2021-06-12
-30.6,Connecticut,2021-06-13
-17.2,Connecticut,2021-06-14
10.31,Connecticut,2021-06-15
43.56,Connecticut,2021-06-16
38.36,Connecticut,2021-06-17
39.53,Connecticut,2021-06-18
33.72,Connecticut,2021-06-19
119.51,Connecticut,2021-06-20
22.23,Connecticut,2021-06-21
9.2,Connecticut,2021-06-22
26.55,Connecticut,2021-06-23
27.57,Connecticut,2021-06-24
33.91,Connecticut,2021-06-25
30.54,Connecticut,2021-06-26
39.35,Connecticut,2021-06-27
34.18,Connecticut,2021-06-28
-51.79,Connecticut,2021-06-29
22.63,Connecticut,2021-06-30
66.33,Connecticut,2021-07-01
37.53,Connecticut,2021-07-02
38.51,Connecticut,2021-07-03
19.96,Connecticut,2021-07-04
63.46,Connecticut,2021-07-05
2.73,Connecticut,2021-07-06
14.79,Connecticut,2021-07-07
9.47,Connecticut,2021-07-08
30.51,Connecticut,2021-07-09
34.25,Connecticut,2021-07-10
44.54,Connecticut,2021-07-11
19.29,Connecticut,2021-07-12
18.18,Connecticut,2021-07-13
35.83,Connecticut,2021-07-14
37.88,Connecticut,2021-07-15
29.18,Connecticut,2021-07-16
25.85,Connecticut,2021-07-17
33.67,Connecticut,2021-07-18
22.1,Connecticut,2021-07-19
16.82,Connecticut,2021-07-20
27.45,Connecticut,2021-07-21
35.63,Connecticut,2021-07-22
32.25,Connecticut,2021-07-23
38.45,Connecticut,2021-07-24
37.84,Connecticut,2021-07-25
22.42,Connecticut,2021-07-26
29.36,Connecticut,2021-07-27
45.86,Connecticut,2021-07-28
23.59,Connecticut,2021-07-29
42.81,Connecticut,2021-07-30
41.27,Connecticut,2021-07-31
34.71,Connecticut,2021-08-01
15.9,Connecticut,2021-08-02
31.75,Connecticut,2021-08-03
31.49,Connecticut,2021-08-04
33.21,Connecticut,2021-08-05
41.47,Connecticut,2021-08-06
36.17,Connecticut,2021-08-07
29.13,Connecticut,2021-08-08
18.2,Connecticut,2021-08-09
21.97,Connecticut,2021-08-10
26.71,Connecticut,2021-08-11
32.3,Connecticut,2021-08-12
37.22,Connecticut,2021-08-13
39.3,Connecticut,2021-08-14
53.07,Connecticut,2021-08-15
22.9,Connecticut,2021-08-16
19.93,Connecticut,2021-08-17
20.5,Connecticut,2021-08-18
21.66,Connecticut,2021-08-19
30.82,Connecticut,2021-08-20
9.37,Connecticut,2021-08-21
-67.15,Connecticut,2021-08-22
-0.63,Connecticut,2021-08-23
33.87,Connecticut,2021-08-24
54.51,Connecticut,2021-08-25
42.69,Connecticut,2021-08-26
33.13,Connecticut,2021-08-27
38.12,Connecticut,2021-08-28
8.59,Connecticut,2021-08-29
-15.69,Connecticut,2021-08-30
80.92,Connecticut,2021-08-31
6.29,Connecticut,2021-09-01
43.23,Connecticut,2021-09-02
54.61,Connecticut,2021-09-03
34.85,Connecticut,2021-09-04
67.87,Connecticut,2021-09-05
87.89,Connecticut,2021-09-06
3.87,Connecticut,2021-09-07
9.67,Connecticut,2021-09-08
5.54,Connecticut,2021-09-09
28.48,Connecticut,2021-09-10
34.36,Connecticut,2021-09-11
35.04,Connecticut,2021-09-12
16.23,Connecticut,2021-09-13
5.43,Connecticut,2021-09-14
24.65,Connecticut,2021-09-15
21.68,Connecticut,2021-09-16
32.41,Connecticut,2021-09-17
37.44,Connecticut,2021-09-18
47.13,Connecticut,2021-09-19
0.96,Connecticut,2021-09-20
-4.43,Connecticut,2021-09-21
2.77,Connecticut,2021-09-22
18.81,Connecticut,2021-09-23
36.06,Connecticut,2021-09-24
27.5,Connecticut,2021-09-25
48.61,Connecticut,2021-09-26
-2.29,Connecticut,2021-09-27
11.79,Connecticut,2021-09-28
26.35,Connecticut,2021-09-29
31.08,Connecticut,2021-09-30
29.54,Connecticut,2021-10-01
28.79,Connecticut,2021-10-02
37.54,Connecticut,2021-10-03
41.22,Connecticut,2021-10-04
1.81,Connecticut,2021-10-05
16.51,Connecticut,2021-10-06
37.51,Connecticut,2021-10-07
37.89,Connecticut,2021-10-08
26.79,Connecticut,2021-10-09
16.13,Connecticut,2021-10-10
7.95,Connecticut,2021-10-11
14.78,Connecticut,2021-10-12
27.09,Connecticut,2021-10-13
39.15,Connecticut,2021-10-14
50.04,Connecticut,2021-10-15
33.68,Connecticut,2021-10-16
48.08,Connecticut,2021-10-17
-0.03,Connecticut,2021-10-18
12.77,Connecticut,2021-10-19
20.22,Connecticut,2021-10-20
38.38,Connecticut,2021-10-21
49.27,Connecticut,2021-10-22
36,Connecticut,2021-10-23
57.27,Connecticut,2021-10-24
-0.42,Connecticut,2021-10-25
-10.19,Connecticut,2021-10-26
16.9,Connecticut,2021-10-27
100.78,Connecticut,2021-10-28
30.77,Connecticut,2021-10-29
4.68,Connecticut,2021-10-30
2.28,Connecticut,2021-10-31
1.53,Connecticut,2021-11-01
5.8,Connecticut,2021-11-02
6.59,Connecticut,2021-11-03
22.67,Connecticut,2021-11-04
27.23,Connecticut,2021-11-05
22.93,Connecticut,2021-11-06
19.75,Connecticut,2021-11-07
6.58,Connecticut,2021-11-08
48.38,Connecticut,2021-11-09
29.47,Connecticut,2021-11-10
49.83,Connecticut,2021-11-11
20.29,Connecticut,2021-11-12
17.38,Connecticut,2021-11-13
18.68,Connecticut,2021-11-14
-8.68,Connecticut,2021-11-15
-2.28,Connecticut,2021-11-16
14.25,Connecticut,2021-11-17
14.94,Connecticut,2021-11-18
22,Connecticut,2021-11-19
22.44,Connecticut,2021-11-20
44.27,Connecticut,2021-11-21
10.76,Connecticut,2021-11-22
7.84,Connecticut,2021-11-23
18.39,Connecticut,2021-11-24
-7.32,Connecticut,2021-11-25
9.97,Connecticut,2021-11-26
24.17,Connecticut,2021-11-27
150.29,Connecticut,2021-11-28
74.15,Connecticut,2021-11-29
0.25,Connecticut,2021-11-30
6.11,Connecticut,2021-12-01
-1.99,Connecticut,2021-12-02
15.73,Connecticut,2021-12-03
17.22,Connecticut,2021-12-04
13.71,Connecticut,2021-12-05
-21.78,Connecticut,2021-12-06
-12.51,Connecticut,2021-12-07
-4.79,Connecticut,2021-12-08
-11.54,Connecticut,2021-12-09
16.03,Connecticut,2021-12-10
25.64,Connecticut,2021-12-11
23.25,Connecticut,2021-12-12
-13.01,Connecticut,2021-12-13
54.66,Connecticut,2021-12-14
1.97,Connecticut,2021-12-15
0.16,Connecticut,2021-12-16
15.31,Connecticut,2021-12-17
22.22,Connecticut,2021-12-18
10.07,Connecticut,2021-12-19
-44.6,Connecticut,2021-12-20
-33.77,Connecticut,2021-12-21
106.81,Connecticut,2021-12-22
16.22,Connecticut,2021-12-23
-29.74,Connecticut,2021-12-24
-76.52,Connecticut,2021-12-25
3.29,Connecticut,2021-12-26
-7.22,Connecticut,2021-12-27
-55.42,Connecticut,2021-12-28
49.69,Connecticut,2021-12-29
125.23,Connecticut,2021-12-30
71.38,Connecticut,2021-12-31
-37.62,Connecticut,2022-01-01
-5.74,Connecticut,2022-01-02
-33.12,Connecticut,2022-01-03
-35.73,Connecticut,2022-01-04
-47.22,Connecticut,2022-01-05
-33.66,Connecticut,2022-01-06
-44.4,Connecticut,2022-01-07
-13.06,Connecticut,2022-01-08
-27.47,Connecticut,2022-01-09
-43.77,Connecticut,2022-01-10
-39.03,Connecticut,2022-01-11
-33.27,Connecticut,2022-01-12
-22.35,Connecticut,2022-01-13
-6.65,Connecticut,2022-01-14
17.86,Connecticut,2022-01-15
160.76,Connecticut,2022-01-16
1.27,Connecticut,2022-01-17
-32.74,Connecticut,2022-01-18
-18.32,Connecticut,2022-01-19
-16.43,Connecticut,2022-01-20
-6.33,Connecticut,2022-01-21
4.05,Connecticut,2022-01-22
-2.32,Connecticut,2022-01-23
-32.59,Connecticut,2022-01-24
-9.37,Connecticut,2022-01-25
27.88,Connecticut,2022-01-26
6.72,Connecticut,2022-01-27
-11.66,Connecticut,2022-01-28
-83.99,Connecticut,2022-01-29
43.18,Connecticut,2022-01-30
-7.26,Connecticut,2022-01-31
-17.25,Connecticut,2022-02-01
4.53,Connecticut,2022-02-02
107.03,Connecticut,2022-02-03
-23.3,Connecticut,2022-02-04
27.33,Connecticut,2022-02-05
33.44,Connecticut,2022-02-06
-35.73,Connecticut,2022-02-07
179.89,Connecticut,2022-02-08
-4.69,Connecticut,2022-02-09
-53.73,Connecticut,2022-02-10
29.1,Connecticut,2022-02-11
33.5,Connecticut,2022-02-12
-25.62,Connecticut,2022-02-13
172.45,Connecticut,2022-02-14
7.52,Connecticut,2022-02-15
33.2,Connecticut,2022-02-16
5.63,Connecticut,2022-02-17
16.97,Connecticut,2022-02-18
18.44,Connecticut,2022-02-19
80.11,Connecticut,2022-02-20
85.58,Connecticut,2022-02-21
24.71,Connecticut,2022-02-22
50.13,Connecticut,2022-02-23
18.72,Connecticut,2022-02-24
-5.61,Connecticut,2022-02-25
46,Connecticut,2022-02-26
61.23,Connecticut,2022-02-27
28.29,Connecticut,2022-02-28
5.56,Connecticut,2022-03-01
18.55,Connecticut,2022-03-02
25.26,Connecticut,2022-03-03
28.14,Connecticut,2022-03-04
24.88,Connecticut,2022-03-05
57.83,Connecticut,2022-03-06
-11.74,Connecticut,2022-03-07
-0.58,Connecticut,2022-03-08
-11.41,Connecticut,2022-03-09
14.67,Connecticut,2022-03-10
31.32,Connecticut,2022-03-11
-4.52,Connecticut,2022-03-12
41.91,Connecticut,2022-03-13
5.36,Connecticut,2022-03-14
14.75,Connecticut,2022-03-15
26.35,Connecticut,2022-03-16
7.35,Connecticut,2022-03-17
59.26,Connecticut,2022-03-18
17.3,Connecticut,2022-03-19
39.14,Connecticut,2022-03-20
1.21,Connecticut,2022-03-21
-2.29,Connecticut,2022-03-22
11.56,Connecticut,2022-03-23
14.34,Connecticut,2022-03-24
31.67,Connecticut,2022-03-25
19.21,Connecticut,2022-03-26
39.02,Connecticut,2022-03-27
1.53,Connecticut,2022-03-28
15.64,Connecticut,2022-03-29
