date,countyfips,county,state,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020-02-26,34003,Bergen,NJ,0,0,35.9,2.9,1.4,0,0.3
2020-02-26,34017,Hudson,NJ,3,-1.7,16,4.4,1.9,0.1,0.1
2020-02-26,34025,Monmouth,NJ,4.4,-2.9,32,5.1,2.6,0,0.3
2020-02-26,34027,Morris,NJ,1.6,0.6,27.3,0.4,2.1,-0.4,0.8
2020-02-26,36059,Nassau,NY,1.6,-1.4,16.4,-11.9,-1.6,0.3,0.1
2020-02-26,36103,Suffolk,NY,1,-0.7,27.6,-0.9,-1.3,0.4,-0.1
2020-02-26,36119,Westchester,NY,1.9,-4.7,22,0.3,-1.9,0.3,0
2020-02-27,09001,Fairfield,CT,1.9,-1.1,29.1,4.4,1.9,-0.3,0.6
2020-02-27,09003,Hartford,CT,5.3,-0.7,33.9,4.9,2.1,-0.4,0.7
2020-02-27,09005,Litchfield,CT,5.7,-2.3,31,NA,2.4,-0.1,0.4
