county,state,fips_code,date,value
Fairfield,CT,09001,2019-01-01,1854.9155351379638
Fairfield,CT,09001,2019-02-01,1858.3150788730454
Fairfield,CT,09001,2019-03-01,1869.1845102505692
Fairfield,CT,09001,2019-04-01,1887.074513139731
Fairfield,CT,09001,2019-05-01,1904.2664384251334
Fairfield,CT,09001,2019-06-01,1924.0210615418828
Fairfield,CT,09001,2019-07-01,1938.5523838216466
Fairfield,CT,09001,2019-08-01,1926.4504630888814
Fairfield,CT,09001,2019-09-01,1904.5980138756631
Fairfield,CT,09001,2019-10-01,1874.8163506472579
Fairfield,CT,09001,2019-11-01,1848.6784891293455
Fairfield,CT,09001,2019-12-01,1820.5793807359123
Fairfield,CT,09001,2020-01-01,1795.221757322176
Fairfield,CT,09001,2020-02-01,1807.2339928585839
Fairfield,CT,09001,2020-03-01,1837.8078907704585
Fairfield,CT,09001,2020-04-01,1855.6102671555789
Fairfield,CT,09001,2020-05-01,1831.4822114771068
Fairfield,CT,09001,2020-06-01,1816.5780124887983
Fairfield,CT,09001,2020-07-01,1809.4159873635517
Fairfield,CT,09001,2020-08-01,1828.0638356415664
Fairfield,CT,09001,2020-09-01,1835.5104005960268
Fairfield,CT,09001,2020-10-01,1853.7547031018476
Fairfield,CT,09001,2020-11-01,1863.6178346647087
Fairfield,CT,09001,2020-12-01,1850.0540882714963
Fairfield,CT,09001,2021-01-01,1833.6462306277908
Fairfield,CT,09001,2021-02-01,1831.95459273791
Fairfield,CT,09001,2021-03-01,1849.557779470643
Fairfield,CT,09001,2021-04-01,1889.830980369128
Fairfield,CT,09001,2021-05-01,1937.2711870813876
Fairfield,CT,09001,2021-06-01,1969.5470136658137
Fairfield,CT,09001,2021-07-01,1999.4876564027622
Fairfield,CT,09001,2021-08-01,2022.5726796109234
Fairfield,CT,09001,2021-09-01,2036.3194444444446
Fairfield,CT,09001,2021-10-01,2010.50392617178
Fairfield,CT,09001,2021-11-01,1974.0814145013276
Fairfield,CT,09001,2021-12-01,1942.2887844643187
Fairfield,CT,09001,2022-01-01,1929.3073120027718
Fairfield,CT,09001,2022-02-01,1939.660436126727
Fairfield,CT,09001,2022-03-01,1937.6706095258075
Fairfield,CT,09001,2022-04-01,1949.888264707698
Fairfield,CT,09001,2022-05-01,1981.2696164504937
Fairfield,CT,09001,2022-06-01,2004.85871634528
Fairfield,CT,09001,2022-07-01,2064.319626377493
Fairfield,CT,09001,2022-08-01,2075.968335035751
Fairfield,CT,09001,2022-09-01,2062
Fairfield,CT,09001,2022-10-01,2029
Hartford,CT,09003,2019-01-01,1315.3244846335008
Hartford,CT,09003,2019-02-01,1304.120686092168
Hartford,CT,09003,2019-03-01,1307.4077448747153
Hartford,CT,09003,2019-04-01,1315.7479968714072
Hartford,CT,09003,2019-05-01,1327.45544255362
Hartford,CT,09003,2019-06-01,1331.841378469308
Hartford,CT,09003,2019-07-01,1339.6500213401623
Hartford,CT,09003,2019-08-01,1351.3235609888773
Hartford,CT,09003,2019-09-01,1354.00625765202
Hartford,CT,09003,2019-10-01,1347.6647508549534
Hartford,CT,09003,2019-11-01,1327.5443342350463
Hartford,CT,09003,2019-12-01,1318.04114132144
Hartford,CT,09003,2020-01-01,1303.2887029288704
Hartford,CT,09003,2020-02-01,1298.4981792573353
Hartford,CT,09003,2020-03-01,1306.8361379554924
Hartford,CT,09003,2020-04-01,1320.9618598618074
Hartford,CT,09003,2020-05-01,1314.082923301618
Hartford,CT,09003,2020-06-01,1309.6260090035523
Hartford,CT,09003,2020-07-01,1299.2381462781711
Hartford,CT,09003,2020-08-01,1312.0870049880411
Hartford,CT,09003,2020-09-01,1315.9638869657813
Hartford,CT,09003,2020-10-01,1324.5839624666955
Hartford,CT,09003,2020-11-01,1340.6525445566572
Hartford,CT,09003,2020-12-01,1338.9711271320555
Hartford,CT,09003,2021-01-01,1337.8581910515716
Hartford,CT,09003,2021-02-01,1333.426279522749
Hartford,CT,09003,2021-03-01,1342.9492731693572
Hartford,CT,09003,2021-04-01,1358.5531947231884
Hartford,CT,09003,2021-05-01,1380.6832513720358
Hartford,CT,09003,2021-06-01,1397.0539554636032
Hartford,CT,09003,2021-07-01,1441.3419041876596
Hartford,CT,09003,2021-08-01,1477.9517363154794
Hartford,CT,09003,2021-09-01,1493.5133744855968
Hartford,CT,09003,2021-10-01,1474.79303273159
Hartford,CT,09003,2021-11-01,1450.7546472150323
Hartford,CT,09003,2021-12-01,1433.7199737254307
Hartford,CT,09003,2022-01-01,1414.825362135366
Hartford,CT,09003,2022-02-01,1416.4419842537466
Hartford,CT,09003,2022-03-01,1425.2117866135122
Hartford,CT,09003,2022-04-01,1455.2774862645842
Hartford,CT,09003,2022-05-01,1484.9372176573115
Hartford,CT,09003,2022-06-01,1487.3789578078313
Hartford,CT,09003,2022-07-01,1492.0131151736161
Hartford,CT,09003,2022-08-01,1485.8402706843717
Hartford,CT,09003,2022-09-01,1469
Hartford,CT,09003,2022-10-01,1458
New Haven,CT,09009,2019-01-01,1412.2911638996306
New Haven,CT,09009,2019-02-01,1436.1259213336089
New Haven,CT,09009,2019-03-01,1431.1121235130345
New Haven,CT,09009,2019-04-01,1424.3566019441973
New Haven,CT,09009,2019-05-01,1409.8570133924077
New Haven,CT,09009,2019-06-01,1417.4034619550791
New Haven,CT,09009,2019-07-01,1422.955989053752
New Haven,CT,09009,2019-08-01,1413.104771175401
New Haven,CT,09009,2019-09-01,1396.7052101754862
New Haven,CT,09009,2019-10-01,1384.7564412454567
New Haven,CT,09009,2019-11-01,1373.592826370103
New Haven,CT,09009,2019-12-01,1375.249735540498
New Haven,CT,09009,2020-01-01,1366.7280334728034
New Haven,CT,09009,2020-02-01,1372.9202305920157
New Haven,CT,09009,2020-03-01,1382.5302243106657
New Haven,CT,09009,2020-04-01,1392.5465838509317
New Haven,CT,09009,2020-05-01,1383.0694950583497
New Haven,CT,09009,2020-06-01,1377.4419568382016
New Haven,CT,09009,2020-07-01,1370.0654387498942
New Haven,CT,09009,2020-08-01,1376.307297215304
New Haven,CT,09009,2020-09-01,1378.8389427554287
New Haven,CT,09009,2020-10-01,1386.4494352758156
New Haven,CT,09009,2020-11-01,1401.5912965819598
New Haven,CT,09009,2020-12-01,1399.682925971514
New Haven,CT,09009,2021-01-01,1407.1146134313983
New Haven,CT,09009,2021-02-01,1401.357610114705
New Haven,CT,09009,2021-03-01,1411.7344798438853
New Haven,CT,09009,2021-04-01,1421.4391366976058
New Haven,CT,09009,2021-05-01,1457.2680254715783
New Haven,CT,09009,2021-06-01,1482.5006805684106
New Haven,CT,09009,2021-07-01,1538.643175167687
New Haven,CT,09009,2021-08-01,1583.672272366948
New Haven,CT,09009,2021-09-01,1607.173353909465
New Haven,CT,09009,2021-10-01,1601.8390944170108
New Haven,CT,09009,2021-11-01,1596.3576590809773
New Haven,CT,09009,2021-12-01,1595.4892627962204
New Haven,CT,09009,2022-01-01,1572.7253101637773
New Haven,CT,09009,2022-02-01,1543.5986598085346
New Haven,CT,09009,2022-03-01,1525.0280633655054
New Haven,CT,09009,2022-04-01,1525.64479288845
New Haven,CT,09009,2022-05-01,1541.7769197685961
New Haven,CT,09009,2022-06-01,1542.4299959501132
New Haven,CT,09009,2022-07-01,1572.3368360443355
New Haven,CT,09009,2022-08-01,1587.0337078651685
New Haven,CT,09009,2022-09-01,1559
New Haven,CT,09009,2022-10-01,1511
Bergen,NJ,34003,2019-01-01,1942.755938708458
Bergen,NJ,34003,2019-02-01,1951.6291244747538
Bergen,NJ,34003,2019-03-01,1956.5720070868133
Bergen,NJ,34003,2019-04-01,1970.7936462166733
Bergen,NJ,34003,2019-05-01,1974.2513342060217
Bergen,NJ,34003,2019-06-01,1953.2923006291203
Bergen,NJ,34003,2019-07-01,1936.3008711807386
Bergen,NJ,34003,2019-08-01,1921.9572841662252
Bergen,NJ,34003,2019-09-01,1918.0818936199155
Bergen,NJ,34003,2019-10-01,1928.767900306172
Bergen,NJ,34003,2019-11-01,1921.682196172728
Bergen,NJ,34003,2019-12-01,1922.657460616977
