series_id,date,value,state_code,state
SMU36000007072250001,2019-02-01,566300,36,New York
SMU36000007072250001,2019-03-01,572600,36,New York
SMU36000007072250001,2019-04-01,583500,36,New York
SMU36000007072250001,2019-05-01,598500,36,New York
SMU36000007072250001,2019-06-01,612900,36,New York
SMU36000007072250001,2019-07-01,612000,36,New York
SMU36000007072250001,2019-08-01,605300,36,New York
SMU36000007072250001,2019-09-01,593600,36,New York
SMU36000007072250001,2019-10-01,589600,36,New York
SMU36000007072250001,2019-11-01,586900,36,New York
SMU36000007072250001,2019-12-01,587100,36,New York
SMU36000007072250001,2020-01-01,567900,36,New York
SMU36000007072250001,2020-02-01,568900,36,New York
SMU36000007072250001,2020-03-01,538700,36,New York
SMU36000007072250001,2020-04-01,209300,36,New York
SMU36000007072250001,2020-05-01,279200,36,New York
SMU36000007072250001,2020-06-01,329600,36,New York
SMU36000007072250001,2020-07-01,386900,36,New York
SMU36000007072250001,2020-08-01,412100,36,New York
SMU36000007072250001,2020-09-01,418800,36,New York
SMU36000007072250001,2020-10-01,432500,36,New York
SMU36000007072250001,2020-11-01,426600,36,New York
SMU36000007072250001,2020-12-01,404700,36,New York
SMU36000007072250001,2021-01-01,374300,36,New York
SMU36000007072250001,2021-02-01,395400,36,New York
SMU36000007072250001,2021-03-01,417300,36,New York
SMU36000007072250001,2021-04-01,445800,36,New York
SMU36000007072250001,2021-05-01,472400,36,New York
SMU36000007072250001,2021-06-01,502200,36,New York
SMU36000007072250001,2021-07-01,516900,36,New York
SMU36000007072250001,2021-08-01,518799.99999999994,36,New York
SMU36000007072250001,2021-09-01,512900,36,New York
SMU36000007072250001,2021-10-01,524700,36,New York
SMU36000007072250001,2021-11-01,525700,36,New York
SMU36000007072250001,2021-12-01,527700,36,New York
SMU36000007072250001,2022-01-01,503800,36,New York
SMU36000007072250001,2022-02-01,513000,36,New York
SMU36000007072250001,2022-03-01,522100,36,New York
SMU36000007072250001,2022-04-01,533500,36,New York
SMU36000007072250001,2022-05-01,555500,36,New York
SMU36000007072250001,2022-06-01,576900,36,New York
SMU36000007072250001,2022-07-01,578100,36,New York
SMU36000007072250001,2022-08-01,575200,36,New York
SMU36000007072250001,2022-09-01,563100,36,New York
SMU36000007072250001,2022-10-01,570700,36,New York
SMU36000007072250001,2022-11-01,572600,36,New York
SMU36000007072250001,2022-12-01,569800,36,New York
SMU36000007072250001,2023-01-01,556300,36,New York
