date,state,Total Private,Goods Producing,Private Service Providing,Construction,Manufacturing,"Trade, Transportation, and Utilities",Financial Activities,Professional and Business Services,Private Education and Health Services,Leisure and Hospitality,Other Services,Information
2019-01-01,Connecticut,38.68195446747885,41.85906943273341,38.02102179222516,37.55720938853837,42.763503619922666,31.44648096996482,56.503946079144015,43.9810111796005,34.322117872822965,20.32657859157387,29.243372052452536,NA
2019-02-01,Connecticut,37.962124840930606,41.08515156459035,37.3028191992691,38.12405955993518,41.45528806517224,31.334368127386046,55.67084304064564,42.76233258285205,33.960023928388864,21.016813173665724,29.657187109124337,NA
2019-03-01,Connecticut,38.03262414578588,41.597101204035155,37.2828150558629,38.03262414578588,41.793205119861156,30.972883176049468,54.897560906822875,42.66990497884804,34.00672610912247,20.833157175398636,29.081057164551474,NA
2019-04-01,Connecticut,37.97072083794393,41.75399375002254,37.16576915452295,38.63768080420703,42.70843646036455,31.416114272944522,54.97819997765292,41.88048615741726,34.141450686812696,20.687258263919176,28.368797185707958,NA
2019-05-01,Connecticut,37.35732727246573,41.0402824488974,36.57713739085404,38.4128782887639,41.98109965907621,31.333802451198988,54.08551620466937,41.17796301624064,33.63995195419826,20.4111441086353,29.21122703799071,NA
2019-06-01,Connecticut,37.522169927045,40.98945186906837,36.76692039511912,38.10577183807863,42.32830331202789,31.972230184862376,55.57949964490929,41.103883616329874,33.67726321905869,19.8996808487744,28.13876665160221,NA
2019-07-01,Connecticut,37.00523612261807,41.090229720569404,36.12415907207954,38.67584975091189,42.24592818945761,31.627233346603692,53.9516661466123,40.88426365680716,33.36650232948494,19.498120702826586,27.87407396249153,NA
2019-08-01,Connecticut,37.084165652690494,41.08030419285111,36.22785025122751,39.03656476802611,42.30198083227164,31.68366985413058,54.99828385129622,40.52084479722863,33.373465579684215,19.820847159196646,27.356422692070947,NA
2019-09-01,Connecticut,38.12402336953798,41.95013116725973,37.30169572346046,39.67730892323994,43.5034167209617,32.34488741238213,57.87130809270489,41.162067173102116,33.60122131611166,20.284081936578627,28.861416133859336,NA
2019-10-01,Connecticut,37.906862330128384,41.68840887361015,37.09571488424559,39.71195101251544,43.05936230327121,32.04603641832734,55.87777687060214,41.151452113659566,33.86254971262825,20.63284911639899,28.892843530106894,NA
2019-11-01,Connecticut,38.17478466228691,41.48539696852592,37.466998583022026,40.138320237021766,42.61557151444888,32.24993022456954,57.947131263686714,41.72513096311563,33.58559105156941,20.70845077075014,28.93931791833054,NA
2019-12-01,Connecticut,38.54917081224805,42.14070846556309,37.79665816107728,40.430452440174975,43.34928939017069,32.15281327729651,58.78720044600738,42.18631529290677,33.726248820653574,20.956337164422333,29.610232652886182,NA
2020-01-01,Connecticut,37.885903907524295,41.596437344869166,37.116646975391824,40.31811332529608,42.61457151975038,32.89704645060634,56.80057435642863,40.66880398553295,33.14592369335509,20.611560740373026,28.405943479185876,NA
2020-02-01,Connecticut,38.149934424953194,41.27734840415179,37.506387144035074,40.47573687879764,42.09025023267994,33.3854264855243,58.043448617544946,40.419285362927624,33.34026527282829,20.808028749685924,28.56446703022539,NA
2020-03-01,Connecticut,38.23138228566362,41.04866970476106,37.63171869846617,41.127870555900344,41.80673499423708,33.26435747849987,57.68084844401099,40.9015824097881,33.59247529036262,20.909024700771344,28.47836318822591,NA
2020-04-01,Connecticut,39.757107792304986,41.90583337787709,39.2796132177334,42.62207523973446,42.292376604911226,34.834366106840854,57.40166921456902,43.019987385210776,33.95895938679296,22.862894987224855,30.968933836499506,NA
2020-05-01,Connecticut,39.041134665286506,41.02033471349773,38.57743636827702,41.80070501822101,40.98640556981411,34.27974483501836,56.356307658494394,41.07688328630376,34.3362934078244,22.70990683890362,29.91419501439247,NA
2020-06-01,Connecticut,38.20550477627482,40.66891797983232,37.64050174793595,41.55032270404097,40.70281816153266,33.143077642358485,55.77709895761387,39.86661367959112,34.77028636397445,21.718716409346406,29.741759411758455,NA
2020-07-01,Connecticut,37.795379798606604,40.58503878374185,37.16545680196316,42.00236552618961,40.32632041012044,33.228438072941636,55.613201703664,40.123845161199334,34.420792316588155,20.494994640792033,28.324037599074828,NA
2020-08-01,Connecticut,38.062442799793985,40.786012036207396,37.4547042098505,42.485429204382704,40.30207204791906,33.23429733524295,56.20456515144032,40.549669251229375,34.337230331807056,20.719384149740016,27.944720719068144,NA
2020-09-01,Connecticut,37.84043106508148,40.43039834686928,37.27983208633953,42.28037497671771,39.36526028725958,32.46989284873362,55.99262599674575,40.49767022431831,34.48804917220463,21.190641396445628,28.79236354818644,NA
2020-10-01,Connecticut,38.1784239813319,40.88460050471455,37.59451867338212,42.89458223784938,39.73924778527459,32.530263021740744,57.14411754147002,40.53650310959064,34.596389496024585,21.18902530963921,28.993144329352642,NA
2020-11-01,Connecticut,39.03356294411047,40.82419667409131,38.650660133925896,42.299498678037786,40.238580611456065,32.648095491914674,60.633786177464174,40.75662558994109,35.36220070528185,21.27362965996096,30.226798309865124,NA
2020-12-01,Connecticut,38.574033550202216,41.30047047652541,38.00181839282574,42.815157657816066,40.717035414102334,31.8981900474767,57.434693933532614,40.90777379989449,34.97244403024442,21.497338069280815,31.067917074028486,NA
2021-01-01,Connecticut,37.733694982926195,40.32600094562648,37.197355818229575,41.521590333596,39.77848804833202,32.72786277909115,55.91335791962175,40.82881891252955,34.88439317047544,21.341829261886,30.48194252692409,NA
2021-02-01,Connecticut,37.58642145535023,40.3037805176037,37.018448864469384,42.174749052270016,39.07874159609599,31.984652568819513,56.16246619239443,40.57106173684174,35.03611315512054,21.34908738663893,30.525742580478514,NA
2021-03-01,Connecticut,37.17731954459599,39.65210827846014,36.65572730023897,41.11700564559049,38.47575130182517,31.739442954490908,56.01012887808238,40.29577530341136,34.92448495726674,21.19662099408309,30.507597441222202,NA
2021-04-01,Connecticut,37.12832510630654,39.66305789777301,36.59933739330485,41.38226796502851,38.5830413170612,32.23518876104085,55.02574272953059,40.23612792019151,35.13360060519598,21.12644678800524,29.623311928094978,NA
2021-05-01,Connecticut,37.255142736373294,39.44791158489438,36.79466127818387,40.6977898285514,38.57080404548595,32.61743662175119,56.8036770209388,40.62104291885316,34.8540608472427,21.08347247853027,29.799728651401594,NA
2021-06-01,Connecticut,36.47736701693255,39.52800396090815,35.82598546305875,40.92847430173681,38.4206553193227,31.472585411335547,56.30107897315838,39.78855658245767,34.33866424838025,21.007055112429903,29.257888128164645,NA
2021-07-01,Connecticut,36.58221540914247,39.353595364380546,35.99533494803324,40.19044342929556,38.20157075553648,31.582863333026747,55.23197228439158,39.973080295551405,35.223695823241464,21.71457706104179,30.213475590438527,NA
2021-08-01,Connecticut,36.8287341414705,39.650859363039125,36.22089178605572,40.20443007957758,38.532863602186936,31.694637103770663,55.46561493159866,39.93307188519598,35.1137503529788,21.44815168392152,30.316137476312143,NA
2021-09-01,Connecticut,36.55859689733594,39.85167783463288,35.84599577647824,40.4455121020143,38.71799423326836,31.28966739766082,53.6718207846004,39.97044468810917,35.09020670890189,22.090634746588698,30.52308134340481,NA
2021-10-01,Connecticut,36.78161458754958,40.12833259127338,36.04985631020805,40.76324050837854,38.89080021047519,31.15353254270218,54.31152979033433,40.49421172994415,35.09211385898163,22.16797134299361,30.464818869910147,NA
2021-11-01,Connecticut,36.559230293455244,40.01246354499311,35.8299760664224,39.56204181653165,39.36900393290531,30.53215859356617,53.81467222427644,40.84896104070725,35.42245164543346,22.113562002084105,30.42491532488487,NA
2021-12-01,Connecticut,36.51798372997827,40.04296862210095,35.77644727401344,39.40890121772523,39.54861098479106,30.456729220352685,54.79846940528523,41.18214056894548,35.23910201606791,22.38580344601081,30.940339952503663,NA
2022-01-01,Connecticut,36.88189989472422,39.645385189429774,36.30794525659306,39.69852913740489,38.954513865753384,30.504626137711384,56.70459248943911,42.39824169454032,34.19281612718381,22.12913993683453,31.36555809490812,NA
2022-02-01,Connecticut,36.135978894308835,38.932782889646724,35.54271744075231,39.53663829773104,38.074672572895324,30.817813721355733,54.474114181922026,41.856714339318145,33.8688726253607,22.08839519045263,30.012673177243308,NA
2022-03-01,Connecticut,35.70852562421317,38.605790298468314,35.09141870803608,39.75632861676458,37.53892749422996,29.893077397188414,54.01254432438103,41.18927179500629,33.543421697964746,22.142632907574487,30.729832537767518,NA
2022-04-01,Connecticut,35.58560970300311,38.35326417160253,35.00512786689237,39.42093612016336,37.07827728157359,29.52164766506055,53.90188478171167,41.67030323509249,33.05636741709203,21.90282356610707,30.796634555089497,NA
2022-05-01,Connecticut,35.75782501139881,37.8624402169168,35.303888398443945,38.749679960419485,36.624431272494455,29.949499713817296,55.17393195642262,41.514566602962724,32.72470309756405,22.098459657938907,31.352576517495955,NA
2022-06-01,Connecticut,34.67218250640169,37.21562312453562,34.11262557041223,38.24317313426173,36.096509252556686,29.4326948330458,52.70008960773497,39.92184394223012,32.657777536839625,21.873589315951772,30.867195341673337,NA
2022-07-01,Connecticut,35.290482030612736,37.351985029509144,34.831236313036804,38.913420469267315,35.86198781248501,29.555013291108875,53.34394146154216,41.51581286886426,33.56575922460535,22.033588983254162,31.48384530492779,NA
2022-08-01,Connecticut,35.2461222548519,37.53747663432074,34.736932392747704,39.462214313074576,35.3072250383044,28.9729031537283,52.7418859167518,40.70463757660879,32.99550306435138,21.72203951736466,31.447565883554653,NA
2022-09-01,Connecticut,35.63614209251944,37.76048712883905,35.168582897922775,39.7425315407162,35.717456735057986,29.34442162609915,53.15944755957691,41.17570211545814,33.39998942270932,22.10741844016822,32.44454237288136,NA
2022-10-01,Connecticut,35.85825620828534,37.25889004829196,35.543621070312845,38.86251429989374,35.65526579669019,29.098675502166454,54.93935489823056,41.50138965063084,33.655810242477834,22.328945275467806,31.99128886739751,NA
2022-11-01,Connecticut,35.491996253670926,37.60895607587904,35.01593351853322,39.320756123501866,36.06934893245496,28.594151091356455,53.72418611000873,41.36681298515755,33.26361749345186,22.304045590919912,31.217560631796175,NA
2022-12-01,Connecticut,35.69842537445827,37.719853764857945,35.253711128570345,39.41785361279367,36.36549674329016,28.39096174316344,53.972138023671334,41.56056770661733,33.95999695871455,22.73096225004435,30.806568669691053,NA
2023-01-01,Connecticut,36.11039531543198,38.1661106832919,35.6491128426439,39.98115693491455,36.611789307592936,28.21845387881855,55.504314932217724,42.30762505854138,33.392839877919606,22.09141929461168,31.09645539382243,NA
2023-02-01,Connecticut,35.84112829828215,38.019373620006576,35.361514649462094,39.40825481138132,36.710428036768505,28.367148937502936,53.37700233326547,42.585695234814196,33.02339811146432,21.902356629449255,30.865136691774065,NA
